"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs9465871-<b>?</b>,"6 x 10-8",,NR,1.32,'-,'-,CDKAL1,"Prevalent type 2 diabetes","type II diabetes mellitus",GCST004304,6:20717024
rs10761745-<b>?</b>,"5 x 10-6",,NR,1.2,'-,'-,JMJD1C,"Type 2 diabetes","type II diabetes mellitus",GCST004305,10:63341311
rs163177-<b>C</b>,"1 x 10-6",,0.43,1.21,'-,'-,KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST004305,11:2817183
rs11131794-<b>?</b>,"5 x 10-6",,'-,'-,'-,'-,RN7SKP188,"Type 2 diabetes","type II diabetes mellitus",GCST008827,4:167738950
rs7903146-<b>T</b>,"3 x 10-11",,0.38,1.66,'-,[1.50-1.81],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST007221,10:112998590
rs6598475-<b>T</b>,"2 x 10-8",,0.36,1.56,'-,[1.40-1.72],PCSK6,"Type 2 diabetes","type II diabetes mellitus",GCST007221,15:101446425
rs75444904-<b>C</b>,"1 x 10-60",,0.275,'-,"0.777 unit increase",[0.68-0.87],TXNL4B,"Urinary haptoglobin levels in type 2 diabetes","haptoglobin measurement, type II diabetes mellitus",GCST005807,16:72061751
rs75444904-<b>C</b>,"7 x 10-12",,0.307,'-,"0.567 unit increase",[0.40-0.73],TXNL4B,"Plasma haptoglobin levels in type 2 diabetes","haptoglobin measurement, type II diabetes mellitus",GCST005808,16:72061751
rs7903146-<b>T</b>,"7 x 10-45","(additive model)",NR,1.4,'-,[1.35-1.45],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST006801,10:112998590
rs9936385-<b>C</b>,"1 x 10-9","(additive model)",NR,1.152,'-,[1.11-1.2],FTO,"Type 2 diabetes","type II diabetes mellitus",GCST006801,16:53785257
rs10811661-<b>T</b>,"1 x 10-9","(additive model)",NR,1.214,'-,[1.15-1.28],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST006801,9:22134095
rs4402960-<b>T</b>,"2 x 10-9","(additive model)",NR,1.155,'-,[1.11-1.2],IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST006801,3:185793899
rs7756992-<b>G</b>,"1 x 10-8","(additive model)",NR,1.153,'-,[1.1-1.21],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006801,"Mapping not available"
rs1111875-<b>C</b>,"2 x 10-8","(additive model)",NR,1.142,'-,[1.09-1.19],"HHEX, Y_RNA","Type 2 diabetes","type II diabetes mellitus",GCST006801,10:92703125
rs2261181-<b>T</b>,"5 x 10-7","(additive model)",NR,1.203,'-,[1.13-1.28],RPSAP52,"Type 2 diabetes","type II diabetes mellitus",GCST006801,12:65818538
rs459193-<b>G</b>,"1 x 10-6","(additive model)",NR,1.141,'-,[1.09-1.19],"C5orf67, RPL26P19","Type 2 diabetes","type II diabetes mellitus",GCST006801,5:56510924
rs3802177-<b>G</b>,"1 x 10-6","(additive model)",NR,1.131,'-,[1.08-1.18],SLC30A8,"Type 2 diabetes","type II diabetes mellitus",GCST006801,8:117172786
rs163184-<b>G</b>,"3 x 10-6","(additive model)",NR,1.114,'-,[1.07-1.16],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006801,"Mapping not available"
rs849135-<b>G</b>,"3 x 10-6","(additive model)",NR,1.113,'-,[1.07-1.16],'-,"Type 2 diabetes","type II diabetes mellitus",GCST006801,"Mapping not available"
rs1552224-<b>A</b>,"5 x 10-6","(additive model)",NR,1.163,'-,[1.1-1.23],ARAP1,"Type 2 diabetes","type II diabetes mellitus",GCST006801,11:72722053
rs11257655-<b>T</b>,"5 x 10-6","(dominant model)",NR,1.162,'-,[1.1-1.23],"RN7SL198P, CDC123","Type 2 diabetes","type II diabetes mellitus",GCST006801,10:12265895
rs34872471-<b>C</b>,"6 x 10-53",,0.28,1.31,'-,[1.26-1.35],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST003619,10:112994312
rs11927381-<b>C</b>,"3 x 10-14",,0.325,1.14,'-,[1.10-1.17],IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST003619,3:185790803
rs849134-<b>A</b>,"6 x 10-13",,0.531,1.12,'-,[1.09-1.16],JAZF1,"Type 2 diabetes","type II diabetes mellitus",GCST003619,7:28156603
rs13266634-<b>C</b>,"1 x 10-11",,0.695,1.12,'-,[1.09-1.16],SLC30A8,"Type 2 diabetes","type II diabetes mellitus",GCST003619,8:117172544
rs7766070-<b>A</b>,"2 x 10-11",,0.274,1.12,'-,[1.09-1.16],CDKAL1,"Type 2 diabetes","type II diabetes mellitus",GCST003619,6:20686342
rs10811661-<b>T</b>,"2 x 10-10",,0.815,1.14,'-,[1.09-1.19],CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST003619,9:22134095
rs9273401-<b>G</b>,"2 x 10-9",,0.112,1.16,'-,[1.11-1.22],"HLA-DQB1, HLA-DQA1","Type 2 diabetes","type II diabetes mellitus",GCST003619,6:32659352
rs3768321-<b>T</b>,"2 x 10-9",,0.185,1.13,'-,[1.08-1.17],"PABPC4, PABPC4-AS1","Type 2 diabetes","type II diabetes mellitus",GCST003619,1:39570256
rs6857-<b>C</b>,"7 x 10-9",,0.844,1.12,'-,[1.08-1.16],NECTIN2,"Type 2 diabetes","type II diabetes mellitus",GCST003619,19:44888997
rs9687833-<b>A</b>,"3 x 10-9",,0.2,1.12,'-,[1.08-1.16],C5orf67,"Type 2 diabetes","type II diabetes mellitus",GCST003619,5:56565774
rs1058018-<b>T</b>,"3 x 10-8",(EA),0.57,1.09,'-,[1.05-1.11],UBE2Z,"Type 2 diabetes","type II diabetes mellitus",GCST005716,17:48922889
rs140306040-<b>?</b>,"7 x 10-7",,NR,1.9646366,'-,[1.5-2.57],'-,"Diabetic maculopathy in type 2 diabetes","diabetic maculopathy, type II diabetes mellitus",GCST008546,7:62860773
rs2972144-<b>?</b>,"2 x 10-12",,NR,'-,'-,'-,'-,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,2:226236695
rs13389219-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,'-,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,"Mapping not available"
rs780094-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,'-,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,"Mapping not available"
rs7621569-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,SYN2,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,3:12143057
rs702634-<b>?</b>,"4 x 10-9",,NR,'-,'-,'-,ARL15,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,5:53975590
rs3776720-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,ARL15,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,5:54000328
rs3996352-<b>?</b>,"2 x 10-9",,NR,'-,'-,'-,"H4P1, KLF14","Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,7:130760175
rs4237150-<b>?</b>,"3 x 10-9",,NR,'-,'-,'-,GLIS3,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,9:4290085
rs2488075-<b>?</b>,"2 x 10-15",,NR,'-,'-,'-,"Y_RNA, EXOC6","Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,10:92730417
rs11257655-<b>?</b>,"9 x 10-11",,NR,'-,'-,'-,"RN7SL198P, CDC123","Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,10:12265895
rs7896811-<b>?</b>,"7 x 10-9",,NR,'-,'-,'-,TCF7L2,"Circulating leptin levels or type 2 diabetes","leptin measurement, type II diabetes mellitus",GCST010272,10:113006958
